final_clinic_key,clinicName,Display_Name,Group,Practice_DisplayName_Group,IsActivePractice,currentPayPeriod_Number,billedPPs_YTD,netRevenueSubTotal_YTD,rentLeaseStipend_YTD,staffTrainingCost_YTD,totalStaffCost_YTD,miscellaneous_YTD,hqErrorsStipend_YTD,poErrorsStipend_YTD,negativeEarnings_YTD,brexExpensesReimbursementMkt_YTD,coveredBenefits_YTD,salesMarketing_SubTotal_YTD,grossMargin_subTotal_YTD,totalPromotionalSpend_YTD,grossMarginBeforePromSpend_YTD,promotionalSpendExclHQErrNegErns_YTD,billedPPs_L6PP,netRevenueSubTotal_L6PP,grossMargin_subTotal_L6PP,totalPromotionalSpend_L6PP,grossMarginBeforePromSpend_L6PP,promotionalSpendExclHQErrNegErns_L6PP,chargeDollars_2PPLag,arboraCollections_2PPLag,grossMarginBeforeStipendPercent_YTD,grossMarginBeforeStipendPercent_L6PP,collectionsPercent_2PPLag,netRevenueFY,netRevenueAnnualizedL6PP,performanceMetricYTD,performanceMetricL6PP,stipendCapRateFY,stipendCapRateAnnual,StipendCapFY,StipendCapAnnualizedAdj,StipendCapAvgFinal,NegativeEarningsCap
elevate-behavioral-healt,elevate-behavioral-healt,Elevate Behavioral Healthcare Inc”,G2,Elevate Behavioral Healthcare Inc” (G2),true,21,0,,,,,,,,,,,,-508.47999999999996,,-508.47999999999996,0.0,0,,-330.18,,-330.18,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
empoweraba,empoweraba,Empower ABA,G3,Empower ABA (G3),true,21,21,94219.779999999984,,,,,,,,,,,68991.61,,68991.61,0.0,6,43909.16,32953.76,,32953.76,0.0,254558.68,211092.38,73.224125549858016,75.049852923626872,82.924840747917145,116653.06095238093,190273.02666666667,77.104411629081667,78.199848053342976,3.9552205814540833,4.009992402667149,4613.8858756847467,7629.9339136581721,6121.9098946714594,3824.4733803248382
ep-behavioral-health,ep-behavioral-health,EP Behavioral Health,G2,EP Behavioral Health (G2),true,21,0,,,,,,,,,,,,-444.65999999999997,,-444.65999999999997,0.0,0,,-266.36,,-266.36,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exceptional-aba-therapie,exceptional-aba-therapie,Spicer Exceptional ABA Therapies,G2,Spicer Exceptional ABA Therapies (G2),true,21,21,195236.28999999998,,2000.0,,-500.0,950.41,,,206.2,,2656.6099999999997,133570.98,2656.6099999999997,136227.59,1706.1999999999998,6,74207.77,52336.92,-2500.0,49836.92,-2500.0,464311.62,382919.72,69.775752243601858,67.158627728605765,82.470415019981616,241721.12095238091,321567.00333333336,74.853617354153755,73.2833426451561,3.8426808677076876,3.7641671322578047,9288.5712680457,12104.319447659695,10696.445357852697,5672.979380993027
expansion-behavior-suppo,expansion-behavior-suppo,Expansion Behavior Supports,G1,Expansion Behavior Supports (G1),true,21,3,284.01,,,,,,,,36.0,,36.0,-753.04,36.0,-717.04,36.0,3,284.01,-574.74,36.0,-538.74,36.0,153.52,,-252.46998345128691,-189.69050385549806,0.0,757.36,2461.42,0.0,0.0,0.0,0.0,0.75735999999999737,0.75735999999999737,0.75735999999999737,0.0
expeditions-aba,expeditions-aba,Expeditions ABA,G1,Expeditions ABA (G1),true,21,10,9579.21,,,,,,,,,,,7722.9400000000005,,7722.9400000000005,0.0,6,7550.2800000000007,6242.1,,6242.1,0.0,16763.18,17449.68,80.621888443827856,82.673755145504529,104.095285023486,14368.814999999999,32717.880000000005,90.0112470756911,91.242367096697109,4.6005623537845555,4.6621183548348553,661.04629357494821,880.00747430356284,770.52688393925553,502.49347430356283
faast-aba,faast-aba,FAAST ABA,G4,FAAST ABA (G4),true,21,15,5315.29,,,,,,,,,,,3974.8900000000003,,3974.8900000000003,0.0,6,1731.33,1198.08,,1198.08,0.0,12976.960000000001,7975.08,74.782184979558977,69.199979206737012,61.45568761867186,7087.0533333333333,7502.43,69.45158603520413,66.102262571510948,3.5725793017602063,3.4051131285755476,253.19060049137343,196.51248376322346,224.85154212729844,81.090483763223418
finni-northern-new-mexic,finni-northern-new-mexic,Finni North New Mexico,G1,Finni North New Mexico (G1),true,21,3,34808.95,,,,,,,,,,,31543.530000000002,,31543.530000000002,0.0,3,34808.95,31543.530000000002,,31543.530000000002,0.0,5278.17,,90.619021832028849,90.619021832028849,0.0,92823.866666666654,301677.56666666665,54.371413099217307,54.371413099217307,2.8185706549608653,2.8185706549608653,2616.3062666666669,2616.3062666666669,2616.3062666666669,759.82893333333368
fox--fern-behavioral-sol,fox--fern-behavioral-sol,Fox & Fern Behavioral Solutions,G2,Fox & Fern Behavioral Solutions (G2),true,21,7,5346.83,,,,,,,,,,,4176.54,,4176.54,0.0,6,5116.13,4200.83,,4200.83,0.0,9267.51,8963.49,78.112451676974956,82.109524191136657,96.719507181540664,9165.9942857142851,22169.896666666667,85.555273878801245,87.953517387298263,4.3777636939400626,4.4976758693649135,401.26557002862069,460.21388891067829,430.73972946964949,255.56868891067825
ga-ga,ga-ga,Summit Behavior Company,G2,Summit Behavior Company (G2),true,21,21,218984.92,,,691.6,,,,,,8060.38,8751.98,162811.45,8751.98,171563.43000000002,8751.98,6,73334.48,56715.51,1979.99,58695.500000000007,1979.99,527866.60000000009,461231.52,78.344860458884568,80.038066677502869,87.376530358238227,271124.1866666667,317782.74666666664,81.957528418626026,82.973452149797012,4.1978764209313013,4.24867260748985,11381.458303521769,13501.548508955531,12441.503406238651,7145.8935756221981
